이름,ticker,비율,타율,방치
HDC랩스 KOSPI,a039570,0.96,0.37,1.02
현대이지웰 KOSDAQ,a090850,0.97,0.36,1.08
무학 KOSPI,a033920,0.63,0.42,1.59
KSS해운 KOSPI,a044450,0.87,0.21,1.13
팅크웨어 KOSDAQ,a084730,1.83,0.36,0.54
비투엔 KOSDAQ,a307870,1.95,0.33,0.56
오토앤 KOSDAQ,a353590,4.71,0.35,0.21
undefined,a381620,1.00,NaN,1.00
계룡건설 KOSPI,a013580,0.80,0.47,1.27
HLB파나진 KOSDAQ,a046210,2.41,0.23,0.44
에이비프로바이오 KOSDAQ,a195990,0.49,0.22,1.96
진시스템 KOSDAQ,a363250,1.26,0.23,0.74
undefined,a404990,1.00,NaN,1.00
동아화성 KOSDAQ,a041930,1.19,0.39,0.81
에이텍모빌리티 KOSDAQ,a224110,1.30,0.26,0.73
유비쿼스 KOSDAQ,a264450,1.16,0.28,0.86
제일파마홀딩스 KOSPI,a002620,1.17,0.39,0.84
삼영전자 KOSPI,a005680,0.67,0.33,1.47
코다코 KOSDAQ,a046070,1.87,0.31,0.53
피에스텍 KOSDAQ,a002230,0.44,0.16,2.15
고려신용정보 KOSDAQ,a049720,1.31,0.35,0.74
태경비케이 KOSPI,a014580,1.20,0.39,0.83
아미노로직스 KOSDAQ,a074430,1.49,0.34,0.63
오스테오닉 KOSDAQ,a226400,0.51,0.40,2.04
undefined,a289930,1.00,NaN,1.00
에이치피오 KOSDAQ,a357230,1.33,0.37,0.73
한독 KOSPI,a002390,1.58,0.24,0.59
한국공항 KOSPI,a005430,0.42,0.34,2.36
태림포장 KOSPI,a011280,1.26,0.23,0.73
동성케미컬 KOSPI,a102260,1.14,0.42,0.85
샤페론 KOSDAQ,a378800,5.94,0.29,0.16
미원화학 KOSPI,a134380,5.47,0.29,0.17
대창단조 KOSPI,a015230,1.01,0.41,1.06
모나용평 KOSPI,a070960,1.13,0.22,0.85
라온테크 KOSDAQ,a232680,0.52,0.33,1.96
undefined,a303810,1.00,NaN,1.00
인피니트헬스케어 KOSDAQ,a071200,0.62,0.44,1.66
덕우전자 KOSDAQ,a263600,1.15,0.29,0.79
에스씨엠생명과학 KOSDAQ,a298060,1.68,0.50,0.63
엔바이오니아 KOSDAQ,a317870,0.95,0.36,1.05
undefined,a331740,1.00,NaN,1.00
undefined,a044990,1.00,NaN,1.00
중앙에너비스 KOSDAQ,a000440,1.28,0.41,0.79
휴비스 KOSPI,a079980,2.47,0.27,0.45
한울소재과학 KOSDAQ,a091440,0.95,0.38,1.12
엠에스씨 KOSDAQ,a009780,0.79,0.37,1.21
제이스코홀딩스 KOSDAQ,a023440,4.04,0.39,0.27
3S KOSDAQ,a060310,1.48,0.33,0.64
지어소프트 KOSDAQ,a051160,1.22,0.27,0.85
JW생명과학 KOSPI,a234080,1.00,0.42,0.99
노루페인트 KOSPI,a090350,0.99,0.43,1.02
아스플로 KOSDAQ,a159010,0.53,0.29,1.84
undefined,a0004v0,1.00,NaN,1.00
유니켐 KOSPI,a011330,2.38,0.21,0.47
해태제과식품 KOSPI,a101530,0.90,0.31,1.05
태경산업 KOSPI,a015890,1.27,0.39,0.77
엠게임 KOSDAQ,a058630,1.28,0.27,0.76
에스제이그룹 KOSDAQ,a306040,4.33,0.24,0.21
아진엑스텍 KOSDAQ,a059120,1.00,0.30,1.00
undefined,a127980,1.00,NaN,1.00
네온테크 KOSDAQ,a306620,1.09,0.36,0.92
DMS KOSDAQ,a068790,0.72,0.46,1.37
티라유텍 KOSDAQ,a322180,0.36,0.30,2.81
동아지질 KOSPI,a028100,0.89,0.48,1.14
수산아이앤티 KOSDAQ,a050960,1.29,0.30,0.78
한국경제TV KOSDAQ,a039340,1.04,0.33,0.92
유니온머티리얼 KOSPI,a047400,2.47,0.30,0.43
EDGC KOSDAQ,a245620,4.28,0.38,0.25
유신 KOSDAQ,a054930,1.81,0.29,0.53
undefined,a451250,1.00,NaN,1.00
홈센타홀딩스 KOSDAQ,a060560,0.44,0.20,2.17
나우IB KOSDAQ,a293580,0.39,1.00,2.58
에스피시스템스 KOSDAQ,a317830,1.02,0.26,1.01
진흥기업 KOSPI,a002780,1.30,0.38,0.80
금강공업 KOSPI,a014280,1.16,0.39,0.91
평화홀딩스 KOSPI,a010770,0.71,0.29,1.56
엔지켐생명과학 KOSDAQ,a183490,2.27,0.38,0.49
undefined,a382150,1.00,NaN,1.00
NI스틸 KOSPI,a008260,1.28,0.33,0.79
엘컴텍 KOSDAQ,a037950,0.26,0.42,3.63
한컴위드 KOSDAQ,a054920,0.68,0.33,1.49
와이엔텍 KOSDAQ,a067900,1.22,0.28,0.80
경보제약 KOSPI,a214390,0.98,0.24,1.07
로보로보 KOSDAQ,a215100,1.17,0.33,0.92
undefined,a360350,1.00,NaN,1.00
유수홀딩스 KOSPI,a000700,1.25,0.38,0.79
경인양행 KOSPI,a012610,0.96,0.38,1.06
undefined,a460870,1.00,NaN,1.00
메타바이오메드 KOSDAQ,a059210,0.59,0.40,1.77
제이엔케이글로벌 KOSDAQ,a126880,1.65,0.35,0.60
코텍 KOSDAQ,a052330,0.80,0.33,1.24
국보디자인 KOSDAQ,a066620,0.63,0.30,1.54
세보엠이씨 KOSDAQ,a011560,0.31,0.33,3.23
한세예스24홀딩스 KOSPI,a016450,0.98,0.22,0.98
undefined,a032860,1.00,NaN,1.00
EG KOSDAQ,a037370,1.52,0.27,0.61
아모센스 KOSDAQ,a357580,1.01,0.48,1.04
미창석유 KOSPI,a003650,0.59,0.27,1.64
메가스터디 KOSDAQ,a072870,0.87,0.39,1.13
예스24 KOSDAQ,a053280,1.69,0.21,0.59
JW신약 KOSDAQ,a067290,1.98,0.29,0.49
금호에이치티 KOSPI,a214330,0.54,0.28,2.88
이구산업 KOSPI,a025820,0.58,0.39,1.68
바이오에프디엔씨 KOSDAQ,a251120,1.55,0.33,0.64
undefined,a420570,1.00,NaN,1.00
세아특수강 KOSPI,a019440,0.99,0.30,1.00
하이퍼코퍼레이션 KOSDAQ,a065650,0.61,0.52,1.71
라온피플 KOSDAQ,a300120,7.29,0.29,0.14
현대리바트 KOSPI,a079430,1.23,0.33,0.82
