이름,ticker,비율,타율,방치
대한유화 KOSPI,a006650,0.99,0.33,1.05
코리아써키트 KOSPI,a007810,0.12,0.29,8.28
명신산업 KOSPI,a009900,1.71,0.31,0.59
KG이니시스 KOSDAQ,a035600,1.24,0.36,0.79
예스티 KOSDAQ,a122640,0.33,0.36,3.23
오리온홀딩스 KOSPI,a001800,0.58,0.35,1.75
율촌화학 KOSPI,a008730,1.48,0.36,0.65
롯데관광개발 KOSPI,a032350,0.47,0.33,2.16
한스바이오메드 KOSDAQ,a042520,0.42,0.36,3.04
undefined,a168360,1.00,NaN,1.00
대신증권 KOSPI,a003540,0.44,0.35,2.29
삼목에스폼 KOSDAQ,a018310,0.76,0.40,1.31
신풍제약 KOSPI,a019170,2.12,0.37,0.49
LB세미콘 KOSDAQ,a061970,1.59,0.51,0.68
상상인 KOSDAQ,a038540,3.20,0.38,0.30
랩지노믹스 KOSDAQ,a084650,3.75,0.17,0.24
더블유게임즈 KOSPI,a192080,0.61,0.26,1.69
undefined,a318060,1.00,NaN,1.00
undefined,a488900,1.00,NaN,1.00
undefined,a0008z0,1.00,NaN,1.00
디앤씨미디어 KOSDAQ,a263720,1.30,0.28,0.76
톱텍 KOSDAQ,a108230,1.77,0.36,0.57
제테마 KOSDAQ,a216080,2.23,0.26,0.43
undefined,a317450,1.00,NaN,1.00
롯데렌탈 KOSPI,a089860,0.94,0.39,1.05
undefined,a176750,1.00,NaN,1.00
SG KOSDAQ,a255220,0.59,0.28,1.60
한일시멘트 KOSPI,a300720,0.79,0.48,1.33
한화투자증권 KOSPI,a003530,0.40,0.31,2.56
이랜텍 KOSDAQ,a054210,1.14,0.48,0.91
애경케미칼 KOSPI,a161000,0.82,0.28,1.38
SK이터닉스 KOSPI,a475150,1.00,NaN,1.00
제이브이엠 KOSDAQ,a054950,0.80,0.41,1.27
오킨스전자 KOSDAQ,a080580,1.08,0.42,1.00
해성디에스 KOSPI,a195870,0.44,0.38,2.34
보성파워텍 KOSDAQ,a006910,0.44,0.34,2.39
HDC KOSPI,a012630,0.25,0.25,4.08
싸이토젠 KOSDAQ,a217330,4.23,0.18,0.22
코윈테크 KOSDAQ,a282880,1.78,0.32,0.58
쿠콘 KOSDAQ,a294570,1.12,0.33,0.91
AP시스템 KOSDAQ,a265520,0.70,0.47,1.43
HD현대에너지솔루션 KOSPI,a322000,0.31,0.33,3.13
undefined,a432470,1.00,NaN,1.00
undefined,a478340,1.00,NaN,1.00
STX KOSPI,a011810,0.10,0.57,10.23
공구우먼 KOSDAQ,a366030,1.73,0.22,0.56
undefined,a950210,1.00,NaN,1.00
엠케이전자 KOSDAQ,a033160,0.51,0.41,2.14
DI동일 KOSPI,a001530,0.56,0.44,1.83
세아제강지주 KOSPI,a003030,0.90,0.51,1.09
동원개발 KOSDAQ,a013120,1.38,0.27,0.68
세진중공업 KOSPI,a075580,0.40,0.42,2.83
대아티아이 KOSDAQ,a045390,0.88,0.40,1.12
하이비젼시스템 KOSDAQ,a126700,1.10,0.45,0.93
사람인 KOSDAQ,a143240,2.13,0.29,0.45
PI첨단소재 KOSPI,a178920,1.23,0.42,0.84
YTN KOSDAQ,a040300,2.04,0.30,0.48
노바텍 KOSDAQ,a285490,1.16,0.33,0.86
undefined,a365550,1.00,NaN,1.00
undefined,a416180,1.00,NaN,1.00
undefined,a456040,1.00,NaN,1.00
스맥 KOSDAQ,a099440,0.48,0.28,2.16
오이솔루션 KOSDAQ,a138080,0.48,0.42,2.23
엔피 KOSDAQ,a291230,8.00,0.19,0.13
레몬 KOSDAQ,a294140,2.94,0.44,0.36
태광산업 KOSPI,a003240,0.70,0.37,1.38
포니링크 KOSDAQ,a064800,0.29,0.28,3.31
안트로젠 KOSDAQ,a065660,0.58,0.34,1.85
씨에스베어링 KOSDAQ,a297090,1.54,0.32,0.69
undefined,a376270,1.00,NaN,1.00
undefined,a472850,1.00,NaN,1.00
KG스틸 KOSPI,a016380,1.29,0.53,0.78
조이시티 KOSDAQ,a067000,3.21,0.31,0.33
CJ CGV KOSPI,a079160,2.02,0.37,0.50
노바렉스 KOSDAQ,a194700,0.73,0.29,1.31
undefined,a330590,1.00,NaN,1.00
undefined,a415640,1.00,NaN,1.00
서울바이오시스 KOSDAQ,a092190,0.49,0.37,2.16
한세실업 KOSPI,a105630,1.61,0.32,0.61
세경하이테크 KOSDAQ,a148150,1.05,0.35,1.02
JW중외제약 KOSPI,a001060,0.60,0.34,1.61
한양이엔지 KOSDAQ,a045100,0.43,0.50,2.31
대화제약 KOSDAQ,a067080,0.82,0.33,1.16
한양디지텍 KOSDAQ,a078350,0.35,0.23,2.93
롯데손해보험 KOSPI,a000400,0.68,0.25,1.45
하나투어 KOSPI,a039130,1.23,0.35,0.79
undefined,a078590,1.00,NaN,1.00
디케이티 KOSDAQ,a290550,0.45,0.30,2.73
삼부토건 KOSPI,a001470,1.33,0.25,0.78
이스트소프트 KOSDAQ,a047560,0.85,0.50,1.20
토비스 KOSDAQ,a051360,0.46,0.29,2.21
undefined,a162300,1.00,NaN,1.00
NHN KOSPI,a181710,0.47,0.36,2.27
일동제약 KOSPI,a249420,1.32,0.32,0.75
케이씨텍 KOSPI,a281820,0.26,0.36,4.04
